instance,pr_url,trajs_3_5,trajs_3_7
clap-rs__clap-2771,https://github.com/clap-rs/clap/pull/2771,,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.7-Sonnet/trajs/clap-rs__clap-2771/Claude-3.7-Sonnet-1742850314.266841.json
clap-rs__clap-1972,https://github.com/clap-rs/clap/pull/1972,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.5-Sonnet(Oct)/trajs/clap-rs__clap-1972/Claude-3.5-Sonnet(Oct)-1742726036.9661112.json,
clap-rs__clap-2643,https://github.com/clap-rs/clap/pull/2643,,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.7-Sonnet/trajs/clap-rs__clap-2643/Claude-3.7-Sonnet-1742851336.1645305.json
tokio-rs__tracing-1619,https://github.com/tokio-rs/tracing/pull/1619,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.5-Sonnet(Oct)/trajs/tokio-rs__tracing-1619/Claude-3.5-Sonnet(Oct)-1742729011.336976.json,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.7-Sonnet/trajs/tokio-rs__tracing-1619/Claude-3.7-Sonnet-1742855899.9227803.json
clap-rs__clap-4248,https://github.com/clap-rs/clap/pull/4248,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.5-Sonnet(Oct)/trajs/clap-rs__clap-4248/Claude-3.5-Sonnet(Oct)-1742665939.6842525.json,
tokio-rs__tracing-1233,https://github.com/tokio-rs/tracing/pull/1233,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.5-Sonnet(Oct)/trajs/tokio-rs__tracing-1233/Claude-3.5-Sonnet(Oct)-1742729881.375534.json,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.7-Sonnet/trajs/tokio-rs__tracing-1233/Claude-3.7-Sonnet-1742856371.9976053.json
clap-rs__clap-2358,https://github.com/clap-rs/clap/pull/2358,,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.7-Sonnet/trajs/clap-rs__clap-2358/Claude-3.7-Sonnet-1742852208.7211714.json
tokio-rs__tokio-6280,https://github.com/tokio-rs/tokio/pull/6280,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.5-Sonnet(Oct)/trajs/tokio-rs__tokio-6280/Claude-3.5-Sonnet(Oct)-1742733315.6413152.json,
tokio-rs__tokio-4789,https://github.com/tokio-rs/tokio/pull/4789,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.5-Sonnet(Oct)/trajs/tokio-rs__tokio-4789/Claude-3.5-Sonnet(Oct)-1742733990.5076096.json,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.7-Sonnet/trajs/tokio-rs__tokio-4789/Claude-3.7-Sonnet-1742859660.7815073.json
clap-rs__clap-3421,https://github.com/clap-rs/clap/pull/3421,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.5-Sonnet(Oct)/trajs/clap-rs__clap-3421/Claude-3.5-Sonnet(Oct)-1742668690.568088.json,https://raw.githubusercontent.com/multi-swe-bench/experiments/main/evaluation/rust/verified/20250329_MopenHands_Claude-3.7-Sonnet/trajs/clap-rs__clap-3421/Claude-3.7-Sonnet-1742848697.676169.json
